Sector,Nombre de la empresa,comarca,correo electrónico,teléfono,persona de contacto,cargo,página web,dinamizador
Sanidad,Centro Radiológico Scanner,Costa Del Sol,contacto@centroscanner.com,,,,,
Sanidad,Marti Torres,Málaga,,,,,,
Sanidad,Bidafarma,Costa Del Sol,langel.ramirez@bidafarma.es,,,,,
Energía y agua,Veolia,Málaga,maria-dolores.pimentel-esteban@veolia.com,,,,,
Servicios socioculturales y a la comunidad,Fundación hermanas hospitalarias,Málaga,personas.malaga@fundacionhospitalarias.org,,,,,
Sanidad,GM dental,Málaga,Sandravillalon@clinicagmdental.com,,,,,
Informática y comunicaciones,Presentys VR,Málaga,info@presentys.com,,,,,
Administración y gestión,A & F MANAGERS COSTA DEL SOL,Costa Del Sol,,952791703.0,,,,
Instalación y mantenimiento,A AC TERMIA SL,Málaga,,952399518.0,,,,
Servicios socioculturales y a la comunidad,RSIDENCIA MADRE DEL CARMEN,costa del sol,rmcarmen@hfscorazones.org,952 17 65 65,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA JUAN GONZÁLEZ,costa del sol,resiesperanza@gmail.com,952 62 17 36,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA MONSALVE,costa del sol,info@residenciamonsalve.com,952 43 50 03,,,,
Servicios socioculturales y a la comunidad,CENTROGERONTOLÓGICO,costa del sol,buensamaritano@caritasmalaga.es,952 30 58 48,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA NUESTRA SEÑORA DE LAS MERCEDES,costa del sol,residenciansmercedes@hotmail.es,952 71 00 29,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA DE MAYORES 'VIRGEN DE FLORES',costa del sol,virgendeflores@fundacionva.es,952 49 11 12,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA DE MAYORES DE ARCHDONA,costa del sol,residenciaarchidona@geron.es,952 71 43 83,,,,
Servicios socioculturales y a la comunidad,FUNDACIÓN 'RESIDENCIA DE ANCIANOS VIRGEN DEL CARMEN' DE ESTEPONA,costa del sol,resvirgencarmen@gmail.com,952 79 14 00,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA HERMANAS DEL BUEN SAMARITANO,costa del sol,casahermanasbuensamaritano@gmail.com,952 43 50 03,,,,
Servicios socioculturales y a la comunidad,CENTRO RESIDENCIAL PARA MAYORES 'PARRA GROSSI',costa del sol,direccion@fundacioncuidarycurar.org,952 87 18 10,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA 'SAN CARLOS',costa del sol,info@sancarlosresidencia.com,952 32 30 11,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA DE MAYORES 'SAN JOSÉ DE LA MONTAÑA',costa del sol,residenciavalle@yahoo.es,952 30 92 12,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA DE MAYORES 'GLORIETAS DE SAN JOSÉ',costa del sol,resglorietasj@gmail.com,952 30 20 54,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA ESCOLAR ANDALUCÍA,costa del sol,secretaria@residenciaandalucia.com,951 29 84 94,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA EDAD DE ORO,costa del sol,edad_de_oro@yahoo.es,952 45 42 66,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA JUAN CARLOS,costa del sol,info@sancarlosresidencia.com,952 32 79 46,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA TERCERA EDAD CARLOS HAYA S.L,costa del sol,info@ladivinaresidencia.com,952 27 00 13,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA DE ANCIANOS CON ALZHEIMER,costa del sol,info@centroresidencialalmudena.com,952 12 22 22,,,,
Servicios socioculturales y a la comunidad,SAN JUAN DE DIOS,costa del sol,centroasistencialmalaga.informacion@sjd.es,952 17 93 42,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA EL LIMONAR,costa del sol,direccion.ellimonar@emeis.com,952 22 24 57,,,,
Servicios socioculturales y a la comunidad,CENTRO GERIATRICO SAGRADA FAMILIA,costa del sol,952305848.0,952 30 58 48,,,,
Servicios socioculturales y a la comunidad,BOUNCO EL LIMONAR,costa del sol,952061980.0,952 61 24 74,,,,
Servicios socioculturales y a la comunidad,CASER RESIDENCIAL MÁLAGA,costa del sol,951281867.0,952 24 07 43,,,,
Servicios socioculturales y a la comunidad,BOUCO PUENTE ROMANO,costa del sol,direccion.puenteromano@emeis.com,952 24 07 43,,,,
Servicios socioculturales y a la comunidad,BOUCO MÁLAGA,costa del sol,direccion.malaga@emeis.com,952 24 07 43,,,,
Servicios socioculturales y a la comunidad,Bouco Puerto Banús,costa del sol,direccion.puertobanus@emeis.com,951 17 19 00,,,,
Servicios socioculturales y a la comunidad,Bouco Benalmádena,costa del sol,benalmadena@emeis.com,952 57 74 13,,,,
Servicios socioculturales y a la comunidad,Seniors Marbella,costa del sol,info@seniorsresidencias.es,952 81 90 40,,,,
Servicios socioculturales y a la comunidad,Seniors Torre del Mar,axarquia,lbastos@seniorsresidenciales.es,952 54 02 40,,,,
Servicios socioculturales y a la comunidad,Seniors Velez Málaga,malaga,91 269 46 56// atclientes@seniorsresidencias.es //910024224,952 50 25 35,,,,
Servicios socioculturales y a la comunidad,Seniors Benalmadena,malaga,MISMO CORREO DE ARRIBA,952 56 12 34,,,,
Servicios socioculturales y a la comunidad,RESIDENCIA SANYSOL,axarquia,952545054//info@sanysol.com,952 44 19 66,,,,
Servicios socioculturales y a la comunidad,BALLESOL CERRADO CALDERON,costa del sol,informacion@ballesol.es,952 20 18 00,,,,
Servicios socioculturales y a la comunidad,Residencia CK la Quinta,costa del sol,infocklaquinta@cksenior.es,952 81 22 00,,,,
Servicios socioculturales y a la comunidad,RESIDENCIAS LAS PALMERAS,costa del sol,info@residencialaspalmeras.com,952 32 50 00,,,,
Servicios socioculturales y a la comunidad,TRAVESURA ESCUELA INFANTIL,costa del sol,info@travesurasescuelainfantil.es,952 35 15 15,,,,
Servicios socioculturales y a la comunidad,Colegio público de Educación Infantil Adelfa,costa del sol,secretaria.adelfa@gmail.com,951 92 73 99,,,,
Servicios socioculturales y a la comunidad,ESCUELA INFANTIL 'FRACNISCA LUQUE',costa del sol,escuelainfantil@uma.es,951 92 61 74,,,,
Servicios socioculturales y a la comunidad,ESCUELA INFANTIL MAITENA,costa del sol,administracion@grupomaitena.com,952 32 40 50,,,,
Servicios socioculturales y a la comunidad,CENTRO DE EDUCACIÓN INFANTIL LA MARIQUITA,costa del sol,hola@ceilamariquita.es,952 36 31 35,,,,
Servicios socioculturales y a la comunidad,ESCUELA INFANTIL SANTA PAULA,costa del sol,cei.santapaula@gmail.com,952 24 16 02,,,,
Servicios socioculturales y a la comunidad,ESCUELA INFANTIL EL TRÉBOL,costa del sol,info@escuelainfantileltrebol.com,952 23 20 89,,,,
Servicios socioculturales y a la comunidad,ESCUELA INFANTIL BABY,costa del sol,guarderia.baby@gmail.com,952 31 38 69,,,,
Servicios socioculturales y a la comunidad,ESCUELAS INFANTILES UNIDAS,costa del sol,presidencia@escuelasinfantilesunidas.com,952 23 10 33,,,,
Servicios socioculturales y a la comunidad,Residencia el Buifarán Casarabonela,guadalhorce,info@residenciaelbuifaran.com,952 48 91 14,,,,
Servicios socioculturales y a la comunidad,Residencia Macrosad Arroyo de la Mie,costa del sol,arroyodelamiel@seniorpremium.es,951 17 38 41,,,,
Servicios socioculturales y a la comunidad,Fundación harena,costa del sol,info@fundacionharena.org / comunicacion3@fundacionharena.org,951 77 70 01,,,,
Servicios socioculturales y a la comunidad,CODENAF,costa del sol,codenafmalaga@codenaf.org,952 39 33 00,,,,
Servicios socioculturales y a la comunidad,OBSERVATORIO DE RSC,costa del sol,clarisseudias@gmail.com,917 56 04 69,,,,
Servicios socioculturales y a la comunidad,PRODIVERSA,costa del sol,pmanosalvas@prodiversa.eu,952 39 19 31,,,,
Servicios socioculturales y a la comunidad,ADIS MERIDIANO,costa del sol,nroldan@meridianos.org,951 92 00 13,,,,
Servicios socioculturales y a la comunidad,CRUZ ROJA,costa del sol,luisacoronado@cruzroja.es,952 21 76 31,,,,
Servicios socioculturales y a la comunidad,NAIM,costa del sol,jsantana@asociacionnaim.es,952 39 39 63,,,,
Servicios socioculturales y a la comunidad,SECRETARIADO GITANO,costa del sol,juan.amaya@accederempresas.com,952 30 73 12,,,,
Servicios socioculturales y a la comunidad,FAISEMPza. Hospital civil s/n,costa del sol,soae4.malaga.faisem@juntadeandalucia.es,951 30 70 00,,,,
Servicios socioculturales y a la comunidad,MÁLAGA ACOGE,costa del sol,analorente@malagacoge.org,952 30 33 46,,,,
Servicios socioculturales y a la comunidad,Fundación Don Bosco Salesianos Social,costa del sol,r.berlanga@fundaciondonsbosco.es,952 22 28 62,,,,
Servicios socioculturales y a la comunidad,INCIDE,costa del sol,javierpoleo@incide.org,952 32 87 23,,,,
Administración y gestión,Ilunion,,rdominguez@ilunionhotels.com,,,,,
Administración y gestión,IMFE,costa del sol,froliva@malaga.eu,951 92 61 54,,,,
Servicios socioculturales y a la comunidad,CEAR,costa del sol,montse.jimenez@cear.es,952 60 13 21,,,,
Servicios socioculturales y a la comunidad,ACCEM,costa del sol,msanzc@accem.es,952 21 44 95,,,,
Servicios socioculturales y a la comunidad,Casa Ángeles,costa del sol,Trabajosocial@casaangeles.es,952 11 02 83,,,,
Servicios socioculturales y a la comunidad,ASOCIACIÓN CATALINA GUERRERO AVILÉS,costa del sol,uedcatalinaguerreroaviles@gmail.com,952 30 20 54,,,,
Servicios socioculturales y a la comunidad,Apprende Benalmádena,costa del sol,carolinaescobarsierra@gmail.com,640 16 02 38,,,,
Administración y gestión,INSERTA EMPLEO,costa del sol,csamaniego.inserta@fundaciononce.es,952 22 03 84,,,,
Administración y gestión,Ayuntamiento de Málaga,costa del sol,idelapascua@malaga.es,951 92 60 10,,,,
Servicios socioculturales y a la comunidad,MÁLAGA INCLUSIVA COCEMFE,costa del sol,malagainclusiva@gmail.com,952 27 00 13,,,,
Servicios socioculturales y a la comunidad,PRODIVERSA-PROGRESO Y DIVERSIDAD,costa del sol,YFLORIDO@PRODIVERSA.EU,952 39 19 31,,,,
Servicios socioculturales y a la comunidad,Mital del cielo,costa del sol,Javierjerez@mitaddelcielo.org,626 50 17 01,,,,
Servicios socioculturales y a la comunidad,IES Jardines de Puerta Oscura,costa del sol,or2benito@iespuertaoscura.net,951 29 85 41,,,,
Servicios socioculturales y a la comunidad,YMCA,costa del sol,arojas@ymca.es,952 22 47 04,,,,
Servicios socioculturales y a la comunidad,ASOCIACIÓN CODENAF (COOPERACIÓN Y DESARROLLO CON EL NORTE DE ÁFRICA),costa del sol,info@codenaf.org,952 39 33 00,,,,
Servicios socioculturales y a la comunidad,FUNDACIÓN GERON,costa del sol,residenciaarchidona@geron.es,952 30 63 94,,,,
Servicios socioculturales y a la comunidad,Clece,costa del sol,kmiguel@clece.es,952 28 10 50,,,,
Servicios socioculturales y a la comunidad,Asociación de mujeres La Mitad del Cielo,costa del sol,asociacion@mitaddelcielo.org,626 50 17 01,,,,
Servicios socioculturales y a la comunidad,Mitad del cielo,costa del sol,Javierjerez@mitaddelcielo.org,626 50 17 01,,,,
Servicios socioculturales y a la comunidad,Asociación Arrabal AID,costa del sol,m.valera@arrabalempleo.org,952 30 05 00,,,,
Servicios socioculturales y a la comunidad,SAE,costa del sol,atemalaga.capital.sae@juntadeandalucia.es,955 06 39 10,,,,
Servicios socioculturales y a la comunidad,ACCION CONTRA EL HAMBRE,costa del sol,mjgallardo@accioncontraelhambre.org,913 91 53 00,,,,
Servicios socioculturales y a la comunidad,Diputación de Málaga,costa del sol,rmbayo@malaga.es,952 06 99 00,,,,
Servicios socioculturales y a la comunidad,UMA,costa del sol,apenafiel@uma.es,952 13 10 00,,,,
Servicios socioculturales y a la comunidad,PROGRAMA LABORA,costa del sol,insercionmalaga@diagrama.org,951 92 60 10,,,,
Servicios socioculturales y a la comunidad,ARRABAL,costa del sol,fj.garcia@arrabalempleo.org,952 30 05 00,,,,
Administración y gestión,FAECTA,costa del sol,,952 02 01 13,,,,
Servicios socioculturales y a la comunidad,BANCOSOL,costa del sol,malaga@bancosol.info,952 17 95 79,,,,
Imagen personal,Marisa Madriod,malaga,marisa@asit.es,952 22 13 54,,,,
Informática y comunicaciones,ASIT,malaga,ana@asit.es,952 28 29 11,,,,
Administración y gestión,ADECCO,malaga,noelia.fernandez@adecco.com,952 04 22 22,,,,
Servicios socioculturales y a la comunidad,Autismo,malaga,empresas.incorpora.faa@gmail.com,952 41 15 11,,,,
Servicios socioculturales y a la comunidad,DIACONIA,costa del sol,remedios.ortiz@diaconia.es,952 39 21 48,,,,
Servicios socioculturales y a la comunidad,ONE RESCATE,costa del sol,alicia.vazquez@ongrescate.org,951 40 03 33,,,,
Administración y gestión,AXA SEGUROS,costa del sol,axa.torremolinos@agencia.axa.es,918 07 00 55,,,,
Asesoría,Abogacía de Málaga,costa del sol,abogaciademalaga@abogaciademalaga.es,951017900,,,,
Asesoría,Academia Oposiciones J. Ayala,costa del sol,cristobal@academiajesusayala.com,952319618,,,,
Asesoría,Acción MK,costa del sol,info@accionmk.com,951014682,,,,
Asesoría,Administrador Perez Cobo,costa del sol,administrador@perezcobo.es,952320694,,,,
Asesoría,Afinca,costa del sol,info@afincaaf.es,951212525,,,,
Asesoría,AG,costa del sol,AGCOMUNIDADESFINCAS@GMAIL.COM,657715050,,,,
Asesoría,Agencia Mambo,costa del sol,info@agenciamambo.com,951774922,,,,
Asesoría,Agf Asesores,costa del sol,info@agfasesores,952222706,,,,
Asesoría,Almacenes Costasol (Grupo Dian),costa del sol,jrc@grupodian.com,952358535,,,,
Asesoría,Aministración de Fincas,costa del sol,info@administracionfincasmalaga.com,952609042,,,,
Asesoría,Aministración de Fincas JCC,costa del sol,info@miadministradordefincas.es,676691965,,,,
Gestoría,Amupema Empresarias Málaga,costa del sol,info@amupema.org,600925347,,,,
Gestoría,Analizza,costa del sol,info@analizza.es,952072009,,,,
Asesoría,APOMA,costa del sol,info@apoma.es,952242124,,,,
Gestoría,Arroyo Ancon,costa del sol,omira@eybusiness.es,952040200,,,,
Asesoría,Asesoria Alarcón,costa del sol,info@asesoriaalarcon.es,952392628,,,,
Asesoría,Asesoria Aseyser,costa del sol,contacto Mariola,954059159,,,,
Asesoría,Asesoria Málaga,costa del sol,asesoria@asesoriamalaga.com,952221802,,,,
Asesoría,Asesoria NEO,costa del sol,info@asesorianeo.com,952337799,,,,
Asesoría,Asesoria OPG,costa del sol,aorgo@asesoriaorgo.es,693062982,,,,
Asesoría,Asesoría Ortega,costa del sol,info@ortegacantos.es,952310077,,,,
Asesoría,Asesoria Pereña,costa del sol,asesoria@asesoriaperena.com,952213111,,,,
Comercio,C&A,costa del sol,juridicocya@canda.com,952362145,,,,
Comercio,Caro Ruiz S.A,costa del sol,notifica-hdco@covalco.es,952312600,,,,
Comercio,Carrefour,costa del sol,"clientes_carrefour.es@carrefour.com, / cristina_siles@carrefour.es",914908900,,,,
Comercio,CEM ( Felix),costa del sol,finfante@cem-malaga.es,952060623,,,,
Colegios Prof.,Colegio Administradores de Fincas,costa del sol,gerente@cafmalaga.com,952215904,,,,
Colegios Prof.,Colegio de agentes comerciales,costa del sol,malaga@colegioac.es,952313171,,,,
Colegios Prof.,Colegio de economistas de Málaga,costa del sol,colegiodemalaga@economistas.org,952212711,,,,
Colegios Prof.,Colegio profesional de Economistas de Málaga,costa del sol,secretaria@economistas.org,952212711,,,,
Colegios Prof.,Colegio Territorial de Administrador de Fincas,costa del sol,info@cafmalaga.com,952215904,,,,
Comercio,Comercial Papelería del Sur,costa del sol,info@liderpapel.com,952327000,,,,
Cooperativa,Communal,costa del sol,info@communal.es,952328400,,,,
Cooperativa,CONFEDERACIÓN DE EMPRESARIOS DE MÁLAGA,costa del sol,info@cem-malaga.es,952060623,,,,
Cooperativa,Consorcio de transportes del Area Metropolitana de Málaga,costa del sol,usuarios@ctmam.es,955038665,,,,
Comercio,Copicentro,costa del sol,depcomercial@copicentro.net,952331500,,,,
Comercio,Clemen Auto,costa del sol,,952358820,,,,
Comercio,Copirap,costa del sol,info@copyrap.com,952320436,,,,
Comercio,Cortefiel,costa del sol,online@cortefiel.com,952328220,,,,
Gestoría,CRC Consultores,costa del sol,info@crc-consultores.com,952041212,,,,
Comercio,Cristina Rodriguez Asesores,costa del sol,info@nexusfinancial.es,952227181,,,,
Comercio,dbr automation,costa del sol,comercial@dbrautomation.com,952028165,,,,
Comercio,Decathlon,costa del sol,pilar.bueno@decathlon.com,952412462,,,,
Comercio,Decimas,costa del sol,atencionalcliente@decimas.com,952328100,,,,
Comercio,Del prado & Partners Solicitors,costa del sol,delpradoandpartners@delpradoandpartners-es.com,952220162,,,,
Asesoría,Despacho Ábaco,costa del sol,info@abacoadministracionesdefincas.com,952224855,,,,
Comercio,DHL,costa del sol,mario.chica@dhl.com,902122424,,,,
Comercio,Disofic,costa del sol,administracion@disofic.com,952341200,,,,
Comercio,Distribuidora de sistemas de cierre,costa del sol,otentor@claroflex.com,952243212,,,,
Comercio,doctor watson comunicaciones,costa del sol,info@doctorwatson.es,952223846,,,,
Comercio,Dominguez Asesoria,costa del sol,malaga@domingueasesoria.es,952346060,,,,
Comercio,Entre Trámites,costa del sol,info@entretramites.com,930185244,,,,
Comercio,Eroski,costa del sol,comunicacion@eroski.es,952312600,,,,
Asesoría,escobar asesores,costa del sol,info@escobarasesores.com,952271613,,,,
Gestoría,Escudero Administradores,costa del sol,escudero@escuderoadministradores.com,952333066,,,https://escuderoadministraciones.com/,
Comercio,Estudio Cuatrocento,costa del sol,hola@cuatrocento.es,952614488,,,,
Comercio,Europreven Servicios de Prevencion de riesgo L,costa del sol,europreven@europreven.es,952062830,,,,
Comercio,Famadesa,costa del sol,,952231200,,,,
Gestoría,Fernandez Consultores,costa del sol,finfante@cem-malaga.es,952226250,,,,
Comercio,FETRAMA,costa del sol,kekafetrama@gmail.com,952312300,,,,
Comercio,Formación y Especialización en Seguridad Privada,costa del sol,maralbertusacademiafye@gmail.com,952363158,,,https://empresite.eleconomista.es/FORMACION-ESPECIALIZACION-SEGURIDAD-PRIVADA.html,
Comercio,Fundación Juan Cruzado- Vertice,costa del sol,info@fundacionjuancruzado.org,952362402,,,,
Gestoría,Gestoclick,costa del sol,rgpd@gestoclick.com,622353140,,,https://www.google.com/search?q=gestoclick+correo+electronico&sca_esv=771bbf3a918ca038&rlz=1C1GCEB_enES1148ES1148&ei=OBSzZ8LIJK_lxc8Px7SK6AI&oq=gestoclick+corrre&gs_lp=Egxnd3Mtd2l6LXNlcnAiEWdlc3RvY2xpY2sgY29ycnJlKgIIADIHECEYoAEYCjIHECEYoAEYCjIHECEYoAEYCkiuJVDyD1ihHHACeACQAQCYAXKgAYIGqgEDNS4zuAEDyAEA-AEBmAIKoAK2BsICCxAAGIAEGLADGKIEwgIIEAAYsAMY7wXCAhAQLhiABBhDGMcBGIoFGK8BwgIFEAAY7wXCAggQABiABBiiBMICBRAhGKABmAMAiAYBkAYEkgcDNy4zoAelHQ&sclient=gws-wiz-serp,
Gestoría,Gestoria Asensio,costa del sol,concursal@asensioas.es,952650074,,,,
Gestoría,Gestoria Bustillo,costa del sol,info@gbustillo.es,952333454,,,https://gbustillo.es/,
Gestoría,Gestoria Calvana,costa del sol,administracion@grupocalvana.com,952320641,,,,
Gestoría,Gestoria Campos,costa del sol,info@gestoriacampos.es,952314545,,,https://gestoriacampos.es/#contacto,
Gestoría,Gestoria España,costa del sol,info@gespana.com,952213111,,,http://www.gespana.es/,
Gestoría,Gestoria Europa,costa del sol,ahuertas@gestoriaeuropa.com,952321450,,,https://www.gestoriaeuropa.com/,
Gestoría,Gestoria Lotan,costa del sol,gestorialotan@gestores.net,952341233,,,https://www.gestorialotan.com/,
Gestoría,Gestoria Quijada,costa del sol,,952218335,,,,
Gestoría,Gestoria Regina López,costa del sol,reginalopez@gestores.net,952230103,,,https://www.reginalopez.com/,
Gestoría,Gestoria Santisteban,costa del sol,,952213454,,,,
Gestoría,Gestorías Málaga (gestorias.es),costa del sol,,952020224,,,,
Asesoría,GLS Asesoría de Empresas,costa del sol,info@gslconsultoria.com,952603844,,,https://gslconsultoria.com/,
Comercio,GMI,costa del sol,info@globalimplants.es,952021111,,,,
Comercio,Gody,costa del sol,gody@gody.es,952311232,,,,
Comercio,Grupo Bestseller Spain,costa del sol,contact@bestseller.com,952143100,,,,
Comercio,Gyama,costa del sol,afincasgyama@gmail.com,952041530,,,,
Comercio,Highlander Recruitment,costa del sol,info@highlanderhr.com,610531515,,,,
Comercio,IKEA,costa del sol,"carlos.moya.angeler1@ingka.ikea.com
spain.press.es@ingka.ikea.com",900400922,,,https://www.ikea.com/es/es/,
Colegios Prof.,Ilustre Colegio de abogados de Andalucía,costa del sol,registro@icamalaga.es,952601014,,,,
Colegios Prof.,Ilustre Colegio Notarial de Andalucía,costa del sol,,952216555,,,https://andalucia.notariado.org/portal/malaga,
Comercio,Ink And More,costa del sol,info@inksandmore.co.uk,952359400,,,,
Comercio,Inmho,costa del sol,malaga@inmho.es,952023535,,,,
Asesoría,Jimenez Asesores y Consultores,costa del sol,LAURAJG@JIMENEZCONSULTORES.ES,952226848,,,,
Comercio,JS Ad fincas,costa del sol,administraciondefincas@j-santamaria.com,952344545,,,https://j-santamaria.com/,
Comercio,JYSK,costa del sol,empresas-es@JYSK.com,952243888,,,,
Comercio,Kiwoko,costa del sol,,915123123,,,,
Comercio,La Biznaga digital,costa del sol,info@labiznagadigital.es,952274431,,,https://www.labiznagadigital.es/,
Comercio,La Buhardilla del Marketing,costa del sol,info@labuhardilla.es,600028203,,,,
Comercio,La factoria creativa,costa del sol,info@lafactoriacreativa.com,951253454,,,,
Comercio,La Huerta de Pancha,costa del sol,info@huertadepancha.com,952920387,,,,
Comercio,La Lógica de Lewis,costa del sol,info@lalogicadelewis.com,910053915,,,,
Gestoría,La gestoria,costa del sol,info@lagestoria.net,952333454,,,lagestoria.net,
Comercio,Leroy,costa del sol, enrique.lopez@leroymerlin.es,952328100,Enrique López,,,
Comercio,LIDL,costa del sol,patricia.gil@lidl.es,638 40 20 34,Patricia Gil Ortín,Formación y Desarrollo,,
Comercio,Loginan,costa del sol,comercial@loginan.com,952234500,,,,
Comercio,Logista parcels,costa del sol, javier.godoy@logista.com,902333333,Javier Godoy Rodríguez,,,
Comercio,LUMÓN,costa del sol,juanangel.lopez@lumon.com,952176041,Juan Ángel López ,,,
Asesoria,Malacitanos Asesor Mª Angeles,costa del sol,malirola@asesoresmalacitanos.com,952238384,,,,
Comercio,MARES MÁLAGA ASESORES,costa del sol,info@malagaasesores.es,952214555,,,,
Comercio,Marketing Desarrollo y Expansion,costa del sol,info@gslmarketing.com,952314221,,,,
Comercio,Maskom,costa del sol,atencionalcliente@maskom.es,952330700,,,,
Cooperativa,Master gift Import (MGI),costa del sol,rrhh@grupomgi.com,952064000,,,,
Comercio,Maximóvil,costa del sol,juancarlos@maximovil.com,952021445,,,,
Comercio,Mayoral,costa del sol,infoes@mayoral.com,952312100,,,,
Comercio,McArthur Glen Designer Outlet Málaga,costa del sol,info.malaga@mcarthurglen.com,952241555,,,,
Cooperativa,Mediterráneo,costa del sol,"malaga@msgi.es, isegovia@msgi.es",952213144,,,,
Comercio,Mercadona,costa del sol,"atencionalcliente@mercadona.es
rodrip@mercadona.es",800500220,,,,
Comercio,Muñoz-Zurita,costa del sol,info@mzasesoria.com,952326713,,,,
Comercio,Mym Málaga,costa del sol,asesoria@mym-asesoria.com,951252030,,,https://mym-asesoria.com/,
construccion,Nexo Lofistic & Technology SL,costa del sol,"angel.sancho@unionmels.com
jaime.sancho@unionmels.com",952028165,,,,
Comercio,Nova extranjería,costa del sol,zoubida@novaextranjeria.com,622283921,,,,
Comercio,Oferplay,costa del sol,info@oferplay.com,952362402,,,,
Comercio,Ontime Logistica,costa del sol,"marialuisa.cortes@acotral.com/sdelacruz@ontimelogistica.com
sdelacruz@ontimelogistica.com
",902424242,María Luisa Cortés/Sandra Patricia de la Cruz,,,
Asesoria,Otem Asesores,costa del sol,info@otem.es,952358820,,,,
Comercio,Owner Guest,costa del sol,contabilidad@letmalaga.com,693062982,,,,
Comercio,Pascual Asesoría,costa del sol,franciscorepiso@pascualasesores.com,952223846,,,,
Comercio,Plaza Mayor,costa del sol,comercialspain@sonaesierra.com,952328100,,,,
Comercio,Poligono Guadalhorce,costa del sol,info@poligonoguadalhorce.org,952331500,,,https://poligonoguadalhorce.org/index.php/canal-de-comunicacion/informaciones-noticias/300-la-asociacion-de-empresarios-chinos-inaugura-su-sede-en-malaga-sp-1108,
Comercio,Poligono Industrial Antequera Comunidad de Propietarios,costa del sol,info@comunidadpoligonoantequera.com,952843455,,,,
Cooperativa,Prieto y Morales Asociados,costa del sol,info@pymasociados.es,952312345,,,https://pymasociados.com/,
Comercio,Primor,costa del sol,info@primor.eu,952328100,,,,
Asesoria,PROINCO,costa del sol,fjbm@proinco.es,952176450,,,,
Cooperativa,PTA,costa del sol,nperez@pta.es,952619300,,,,
Cooperativa,Puerto Málaga,costa del sol,pfigares@malagaport.eu,952125000,,,,
Cooperativa,Railway,costa del sol,,913006000,,,,
Comercio,Real Club Mediterráneo,costa del sol, mgallardo@realclubmediterraneo.com,952226482,María del Mar Gallardo,,,
Asesoria,REDUR,costa del sol,malaga.administracion@redur.es,902122333,,,,
Gestoria,RK LIGHTHOUSE,costa del sol, info@rklightouse.es,951551551,Esperanza Cruz,,,
Asesoria,SCAAVO,costa del sol,gerente@scaavo.com,951131414,,,,
Gestoria,Serincosol,costa del sol,info@serincosol.com,952243242,,,https://serincosol.com/contacto/,
Asesoria,Servihogar,costa del sol,,952243000,Nieves,,,
Asesoria,SEUR,costa del sol,irene.caballero@seur.net,902101010,,,,
Gestoria,Sinérgica,costa del sol,jose.puchades@sinergica.es / lmorales@sinergica.es,952172152,,,,
Asesoria,SJ asesores,costa del sol,administracion@sjasesores.com,952224855,,,,
Gestoria,Skala Marketing,costa del sol,info@skalamkt.com,951131414,,,,
Gestoria,Sprinter ( María),costa del sol,mariafmarcos@sprintersports.com,952328100,,,,
Gestoria,Stamina,costa del sol,info@staminamarketing.com,952652155,,,,
Gestoria,Superskunk,costa del sol,info@superskunk.es,952312600,,,,
Gestoria,Supertu,costa del sol,hola@supertu.es,952362402,,,,
Gestoria,TDN Málaga,costa del sol,,952327500,,,,
Gestoria,Telerosa,costa del sol,info@telerosa.com,952313171,,,,
Gestoria,Trafrutcan,costa del sol,natalia@trafrutcano.com,952331500,Natalia Cano,,,
Gestoria,Tramia,costa del sol,info@tramia.es,952311400,,,https://www.google.com/search?q=Tramia+correo+electronico&sca_esv=ec4e1a3f479b83b9&rlz=1C1GCEB_enES1148ES1148&ei=czWrZ5vgKba7i-gP3M-CyAQ&ved=0ahUKEwjb5fGCw7uLAxW23QIHHdynAEkQ4dUDCBA&uact=5&oq=Tramia+correo+electronico&gs_lp=Egxnd3Mtd2l6LXNlcnAiGVRyYW1pYSBjb3JyZW8gZWxlY3Ryb25pY28yCBAAGAgYDRgeMgUQABjvBTIIEAAYgAQYogQyCBAAGKIEGIkFMgUQABjvBTIFEAAY7wVIiwVQAFgAcAB4AJABAJgBcqABcqoBAzAuMbgBA8gBAPgBAvgBAZgCAaACdZgDAJIHAzAuMaAHnQU&sclient=gws-wiz-serp,
Gestoria,Transportes Efrain Bueno,costa del sol,mpacheco@transportesefrainbueno.com,952311232,,,,
Gestoria,Transportes FG Garcia SL,costa del sol,info@transportesfgg.com,952321450,,,,
Gestoria,Transportes HGM,costa del sol,transporteshgm@hotmail.com,952028165,,,,
Gestoria,Uppery Club,costa del sol,info@uppery.club,952243242,,,https://uppery.club/#contacto,
